time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-15T00:10:51.426Z,10.4441,-86.2297,10,4.7,mb,53,177,0.982,1.25,us,us6000nyqq,2024-10-15T00:27:55.582Z,"45 km WNW of Tamarindo, Costa Rica",earthquake,3.22,1.843,0.043,161,reviewed,us,us
2024-10-14T23:42:51.541Z,8.7904,127.1369,9.505,4.5,mb,32,135,2.303,0.54,us,us6000nyqm,2024-10-15T00:03:39.040Z,"91 km E of Aras-asan, Philippines",earthquake,11.62,5.099,0.113,23,reviewed,us,us
2024-10-14T21:30:19.983Z,-3.1406,139.1881,10,4.5,mb,32,73,1.636,0.89,us,us6000nyq0,2024-10-14T21:53:42.040Z,"171 km WSW of Abepura, Indonesia",earthquake,8.92,1.881,0.102,28,reviewed,us,us
2024-10-14T16:01:26.539Z,-36.8755,177.0832,252.593,4.8,mb,45,178,1.193,0.92,us,us6000nymi,2024-10-14T16:21:23.040Z,"109 km E of Pauanui, New Zealand",earthquake,10.13,6.406,0.086,41,reviewed,us,us
2024-10-14T15:48:13.841Z,-23.9455,-64.2139,16.852,5,mb,47,48,5.077,1.04,us,us6000nyme,2024-10-16T20:08:15.337Z,"9 km ENE of Palma Sola, Argentina",earthquake,2.73,4.295,0.046,149,reviewed,us,us
2024-10-14T13:21:30.805Z,8.9762,126.2395,75.937,4.6,mb,48,122,2.004,0.66,us,us6000nykv,2024-10-14T14:01:48.472Z,"2 km WSW of La Paz, Philippines",earthquake,11.29,7.452,0.091,36,reviewed,us,us
2024-10-14T13:17:15.724Z,24.1381,121.8499,39.729,4.6,mwr,132,46,0.236,0.7,us,us6000nykn,2024-10-14T16:39:20.452Z,"30 km NE of Hualien City, Taiwan",earthquake,2.7,4.649,0.061,26,reviewed,us,us
2024-10-14T13:10:23.935Z,14.135,-91.2206,110.985,4.6,mb,48,187,0.804,0.88,us,us6000nykg,2024-10-14T13:39:39.040Z,"11 km SE of Nueva Concepción, Guatemala",earthquake,7.64,7.502,0.054,104,reviewed,us,us
2024-10-14T13:08:12.253Z,13.7366,-89.0523,187.37,4.5,mb,78,127,0.114,0.56,us,us6000nykd,2024-10-14T14:07:46.040Z,"7 km ENE of Ilopango, El Salvador",earthquake,7.55,1.371,0.055,95,reviewed,us,us
2024-10-14T11:52:53.317Z,30.0623,131.0184,35.385,4.9,mb,47,91,1.522,0.83,us,us6000nyk6,2024-10-14T12:31:11.040Z,"50 km ESE of Koshima, Japan",earthquake,7.21,7.742,0.073,59,reviewed,us,us
